1746523859371|admin|null|2025-05-06T15:00:59.370931700|A2|0.0
1746525078204|admin|null|2025-05-06T15:21:18.204735400|A1|0.0
1746525098611|admin|null|2025-05-06T15:21:38.611042|A1|0.0
19bb3bec-6f58-4159-9d0d-1435ff8060d1|086d1696-4b9a-4d75-9160-fbcc898206b3|||2025-05-06T17:58:04.725878400||300.0
bd5f2603-88bb-4b5b-aa29-31287406eb4f|086d1696-4b9a-4d75-9160-fbcc898206b3|1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|2025-05-06T18:18:51.378849300|A4|300.0
3025a1c4-78b7-42da-aae9-fbfbda7ff8c7|086d1696-4b9a-4d75-9160-fbcc898206b3|1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|2025-05-06T18:19:06.491131300|A1|300.0
32b50645-91b2-4007-9a8b-03bd2c4d0785|086d1696-4b9a-4d75-9160-fbcc898206b3|1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|2025-05-06T18:32:46.818035|E1,E10|600.0
e2e6afd5-bbac-4f29-b2e0-bfae262b98fd|086d1696-4b9a-4d75-9160-fbcc898206b3|1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|2025-05-08T09:12:54.101898300|A10|300.0
5a733631-8e1a-46ff-bd0d-fdf85ef9ad64|086d1696-4b9a-4d75-9160-fbcc898206b3|1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|2025-05-08T16:12:12.908630400|A3|300.0
6e88c564-bf59-4d62-9b64-8c41f100b1a5|086d1696-4b9a-4d75-9160-fbcc898206b3|1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|2025-05-08T17:02:17.281096400|A5|300.0
6d9b6705-3a24-41bf-a466-208407e2c1fb|086d1696-4b9a-4d75-9160-fbcc898206b3|1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|2025-05-09T16:19:51.861763300|A2|300.0
cb48abd0-9af8-409d-8fc2-15b769d743da|086d1696-4b9a-4d75-9160-fbcc898206b3|1746684591961|964be516-8571-4e0a-be68-e434f3fc8698|2025-05-09T19:48:33.778851400|A4|300.0
efa3436c-1cf3-4185-bfa9-a2051ceb84ab|086d1696-4b9a-4d75-9160-fbcc898206b3|1746684591961|964be516-8571-4e0a-be68-e434f3fc8698|2025-05-10T03:24:09.354857100|A1|300.0
a7cdacda-7468-45e8-8914-b60884bc5833|086d1696-4b9a-4d75-9160-fbcc898206b3|1746684591961|964be516-8571-4e0a-be68-e434f3fc8698|2025-05-10T03:25:16.441388400|A5|300.0
