|||OCCUPIED
1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|A4|OCCUPIED
1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|A1|OCCUPIED
1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|E1|OCCUPIED
1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|E10|OCCUPIED
1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|A10|OCCUPIED
1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|A3|OCCUPIED
1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|A5|OCCUPIED
1746523729487|d6845ab3-94f8-4db6-9529-aa3a7295953a|A2|OCCUPIED
1746684591961|964be516-8571-4e0a-be68-e434f3fc8698|A4|OCCUPIED
1746684591961|964be516-8571-4e0a-be68-e434f3fc8698|A1|OCCUPIED
1746684591961|964be516-8571-4e0a-be68-e434f3fc8698|A5|OCCUPIED
1746523729487|964be516-8571-4e0a-be68-e434f3fc8698|A1|OCCUPIED
